variant,order_mode,rep,prompt_id,position,generation_ms,gen_tokens,ms_per_token,toks_per_sec,duration_s,energy_j,avg_power_w,energy_method,idle_power_w,active_energy_j,mean_power_w,mean_gpu_util_pct,mean_mem_util_pct,mean_sm_clock_mhz,max_temp_c,n_power_samples,energy_j_per_token,active_energy_j_per_token
direct,interleaved,2,4,0,2994.9586100010492,128,23.398114140633197,42.7384871271911,2.99818,205.183,68.436,counter,54.554,41.6207,67.82,29.5,7.0,1095.0,33,30,1.6029921875,0.32516171875
direct_no_grad,interleaved,2,4,1,3365.3902179994475,128,26.292111078120683,38.034222395787864,3.368618,221.186,65.661,counter,54.554,37.4148,66.75,26.9,6.8,1095.0,32,34,1.728015625,0.292303125
pipeline,interleaved,2,4,2,3365.2199869993638,129,26.086976643405922,38.33330376568466,3.368636,227.702,67.595,counter,54.554,43.9298,66.88,26.4,6.4,1095.0,33,33,1.7651317829457365,0.3405410852713178
direct_no_grad,interleaved,2,5,0,3370.7589869991352,128,26.334054585930744,37.9736434713043,3.373976,220.839,65.454,counter,54.554,36.7755,66.61,26.3,6.3,1095.0,33,33,1.7253046875,0.28730859375
direct,interleaved,2,5,1,3019.3240129992773,128,23.588468851556854,42.393595205057125,3.022523,204.882,67.785,counter,54.554,39.9916,67.57,29.1,7.0,1095.0,33,30,1.600640625,0.312434375
pipeline,interleaved,2,5,2,3314.3238789998577,128,25.89315530468639,38.62024493473032,3.318116,221.654,66.801,counter,54.554,40.6379,66.84,27.1,6.9,1095.0,33,33,1.731671875,0.31748359375
pipeline,interleaved,2,6,0,3347.609812999508,129,25.950463666662852,38.53495694123745,3.351074,221.201,66.009,counter,54.554,38.3869,66.8,26.7,6.7,1095.0,32,33,1.7147364341085272,0.29757286821705425
direct,interleaved,2,6,1,3007.86786900062,128,23.498967726567344,42.55506078547548,3.011143,205.188,68.143,counter,54.554,40.9184,68.21,29.5,6.9,1095.0,33,30,1.60303125,0.319675
direct_no_grad,interleaved,2,6,2,3313.955036999687,128,25.890273726560054,38.62454335406002,3.317189,221.449,66.758,counter,54.554,40.4835,66.95,27.3,6.9,1095.0,33,33,1.7300703125,0.31627734375
direct,interleaved,2,7,0,2989.194198000405,128,23.353079671878163,42.82090473935232,2.993,205.228,68.569,counter,54.554,41.9482,67.71,29.6,7.0,1095.0,32,29,1.60334375,0.3277203125
pipeline,interleaved,2,7,1,3285.3969619991403,129,25.468193503869305,39.264661619917135,3.288886,222.022,67.507,counter,54.554,42.6005,67.14,27.4,7.0,1095.0,32,33,1.7211007751937983,0.3302364341085271
direct_no_grad,interleaved,2,7,2,3320.6914400016103,128,25.94290187501258,38.54618904306807,3.324007,221.632,66.676,counter,54.554,40.2945,67.43,26.8,6.7,1095.0,32,34,1.7315,0.31480078125
direct_no_grad,interleaved,2,8,0,3267.548761001308,128,25.527724695322718,39.173095602336375,3.270921,222.262,67.951,counter,54.554,43.8206,67.07,27.2,6.9,1095.0,33,32,1.736421875,0.3423484375
direct,interleaved,2,8,1,2973.29034699942,128,23.228830835932968,43.04994973974702,2.976587,205.654,69.091,counter,54.554,43.2696,68.16,29.6,7.1,1095.0,33,30,1.606671875,0.33804375
pipeline,interleaved,2,8,2,3366.2758250011393,129,26.095161434117358,38.32128046131108,3.36997,221.295,65.667,counter,54.554,37.4501,66.89,26.9,6.6,1095.0,33,34,1.7154651162790697,0.2903108527131783
pipeline,interleaved,2,9,0,3269.5045840009698,129,25.344996775201317,39.45551892823458,3.274334,222.027,67.808,counter,54.554,43.3994,67.16,27.0,6.8,1095.0,32,33,1.7211395348837208,0.3364294573643411
direct,interleaved,2,9,1,2950.2101270009007,128,23.048516617194537,43.38674009302556,2.953495,198.865,67.332,counter,54.554,37.7404,68.43,29.9,7.1,1095.0,32,29,1.5536328125,0.294846875
direct_no_grad,interleaved,2,9,2,3280.973955999798,128,25.63260903124842,39.01280586696857,3.286612,215.424,65.546,counter,54.554,36.1266,66.58,27.3,6.9,1095.0,33,33,1.683,0.2822390625
pipeline,interleaved,2,10,0,3289.643325000725,128,25.700338476568163,38.9099933805048,3.294983,222.038,67.387,counter,54.554,42.2839,67.02,27.0,6.9,1095.0,33,33,1.734671875,0.33034296875
direct_no_grad,interleaved,2,10,1,3308.8256239989278,128,25.850200187491623,38.68441995601563,3.312067,221.701,66.937,counter,54.554,41.0149,67.29,27.0,6.9,1095.0,33,33,1.7320390625,0.32042890625
direct,interleaved,2,10,2,3009.9394520002534,128,23.51515196875198,42.525772375566454,3.01356,204.969,68.016,counter,54.554,40.5676,68.5,29.3,7.0,1095.0,32,30,1.6013203125,0.316934375
pipeline,interleaved,2,11,0,3309.211117999439,129,25.652799364336737,38.98210038590287,3.314595,221.99,66.973,counter,54.554,41.166,66.93,27.1,6.9,1095.0,32,33,1.7208527131782947,0.3191162790697674
direct,interleaved,2,11,1,2998.8924610006507,128,23.428847351567583,42.68242414977755,3.002155,205.145,68.333,counter,54.554,41.3658,67.64,29.4,6.9,1095.0,33,29,1.6026953125,0.3231703125
direct_no_grad,interleaved,2,11,2,3308.618741999453,128,25.848583921870727,38.686838823456426,3.311845,222.033,67.042,counter,54.554,41.359,66.4,27.1,6.9,1095.0,33,33,1.7346328125,0.3231171875
direct_no_grad,interleaved,2,12,0,3313.2805690001987,128,25.885004445314053,38.632405959699554,3.316541,221.519,66.792,counter,54.554,40.5888,66.53,26.8,6.8,1095.0,33,33,1.7306171875,0.3171
direct,interleaved,2,12,1,2991.3286159990093,128,23.36975481249226,42.790350520299505,2.997991,198.532,66.222,counter,54.554,34.9799,68.0,29.5,6.9,1095.0,32,30,1.55103125,0.27328046875
pipeline,interleaved,2,12,2,3307.256875999883,129,25.63765020154948,39.005134719388685,3.311245,215.306,65.023,counter,54.554,34.6647,66.65,27.1,6.9,1095.0,32,33,1.6690387596899225,0.2687186046511628
direct,interleaved,2,13,0,2967.252222000752,128,23.181657984380877,43.137553003058315,2.970478,198.652,66.875,counter,54.554,36.6009,67.93,29.6,7.1,1095.0,33,30,1.55196875,0.28594453125
pipeline,interleaved,2,13,1,3303.004912999313,129,25.60468924805669,39.055346085713445,3.306367,221.829,67.091,counter,54.554,41.4539,67.17,27.2,6.9,1095.0,33,33,1.7196046511627907,0.32134806201550387
direct_no_grad,interleaved,2,13,2,3319.994276000216,128,25.937455281251687,38.554283338767924,3.32327,221.531,66.661,counter,54.554,40.2337,67.01,26.8,6.8,1095.0,33,33,1.7307109375,0.31432578125
pipeline,interleaved,2,14,0,3329.463684000075,129,25.80979600000058,38.74497884446578,3.332792,228.083,68.436,counter,54.554,46.2663,66.63,26.8,6.8,1095.0,32,33,1.7680852713178294,0.35865348837209304
direct_no_grad,interleaved,2,14,1,3328.447634999975,128,26.003497148437305,38.45636586077791,3.331886,221.364,66.438,counter,54.554,39.5967,66.8,26.7,6.8,1095.0,33,33,1.72940625,0.30934921875
direct,interleaved,2,14,2,2971.044066000104,128,23.211281765625813,43.082497989444335,2.974385,205.542,69.104,counter,54.554,43.2778,68.28,29.5,7.0,1095.0,32,30,1.605796875,0.3381078125
direct,interleaved,2,15,0,2984.296409000308,128,23.314815695314905,42.89118185913643,2.987836,198.506,66.438,counter,54.554,35.5079,68.02,29.8,7.1,1095.0,32,29,1.550828125,0.27740546875
direct_no_grad,interleaved,2,15,1,3325.1794500010874,128,25.977964453133495,38.49416307440434,3.328367,221.886,66.665,counter,54.554,40.3107,66.38,27.1,6.9,1095.0,32,33,1.733484375,0.31492734375
pipeline,interleaved,2,15,2,3314.0785380001034,129,25.690531302326384,38.92484698864308,3.317543,221.738,66.838,counter,54.554,40.7531,66.91,26.9,6.9,1095.0,32,33,1.7188992248062016,0.315915503875969
direct_no_grad,interleaved,2,16,0,3320.311510000465,128,25.939933671878634,38.55059972971694,3.323473,221.302,66.588,counter,54.554,39.9937,66.89,26.9,6.8,1095.0,32,33,1.728921875,0.31245078125
direct,interleaved,2,16,1,2990.3663259992754,128,23.36223692186934,42.804120313663205,2.993946,205.156,68.524,counter,54.554,41.8246,68.2,29.6,7.0,1095.0,33,30,1.60278125,0.3267546875
pipeline,interleaved,2,16,2,3314.61449499875,129,25.69468600774225,38.91855303071938,3.317972,221.388,66.724,counter,54.554,40.3797,66.92,27.1,6.8,1095.0,32,33,1.7161860465116279,0.3130209302325581
direct,interleaved,2,17,0,2984.0979010004958,128,23.313264851566373,42.894035064025445,2.989524,205.338,68.686,counter,54.554,42.2478,68.23,29.6,6.9,1095.0,32,29,1.604203125,0.3300609375
direct_no_grad,interleaved,2,17,1,3331.84595000057,128,26.030046484379454,38.41714230514712,3.33507,221.402,66.386,counter,54.554,39.461,66.69,27.0,6.9,1095.0,32,34,1.729703125,0.3082890625
pipeline,interleaved,2,17,2,3326.78931800001,129,25.789064480620233,38.77612546788862,3.330412,221.679,66.562,counter,54.554,39.9921,67.12,26.8,6.8,1095.0,32,33,1.7184418604651164,0.3100162790697674
direct_no_grad,interleaved,2,18,0,3326.0557249996054,128,25.984810351559418,38.484021490654726,3.32935,221.765,66.609,counter,54.554,40.1361,66.57,26.8,6.8,1095.0,32,33,1.7325390625,0.31356328125
pipeline,interleaved,2,18,1,3327.1833790004166,129,25.792119217057493,38.771532947112576,3.330652,221.395,66.472,counter,54.554,39.695,66.69,26.8,6.8,1095.0,33,33,1.7162403100775194,0.3077131782945736
direct,interleaved,2,18,2,3001.4699839994137,128,23.44898424999542,42.645770466590484,3.004744,205.026,68.234,counter,54.554,41.1056,67.99,29.4,7.0,1095.0,32,30,1.601765625,0.3211375
pipeline,interleaved,2,19,0,3335.5884850006987,129,25.857275077524797,38.673835390690584,3.338995,221.658,66.385,counter,54.554,39.5028,66.9,26.9,6.8,1095.0,32,33,1.7182790697674417,0.3062232558139535
direct_no_grad,interleaved,2,19,1,3326.694428000337,128,25.989800218752634,38.47663281684104,3.330314,228.159,68.51,counter,54.554,46.4774,66.3,26.8,6.8,1095.0,32,34,1.7824921875,0.3631046875
direct,interleaved,2,19,2,2976.3305519991263,128,23.252582437493174,43.00597590345791,2.979664,198.57,66.642,counter,54.554,36.0178,68.05,29.4,7.0,1095.0,32,29,1.551328125,0.2813890625
pipeline,blocked,0,0,0,3321.845442000267,129,25.75073986046719,38.83383566525056,3.325263,227.998,68.565,counter,54.554,46.592,66.36,27.0,6.9,1095.0,32,33,1.7674263565891473,0.3611782945736434
pipeline,blocked,0,1,0,3343.224893000297,128,26.11894447656482,38.286386377414615,3.346608,221.263,66.116,counter,54.554,38.6925,66.68,26.7,6.7,1095.0,33,33,1.7286171875,0.30228515625
pipeline,blocked,0,2,0,3336.2922050000634,129,25.86273027131832,38.66567796629718,3.339814,221.464,66.31,counter,54.554,39.2642,67.02,26.8,6.8,1095.0,32,34,1.7167751937984497,0.3043736434108527
pipeline,blocked,0,3,0,3325.025430000096,129,25.775390930233304,38.796695759405445,3.329515,228.344,68.582,counter,54.554,46.7061,66.5,26.6,6.7,1095.0,33,33,1.770108527131783,0.3620627906976744
pipeline,blocked,0,4,0,3281.401118998474,129,25.437217976732356,39.312475165904885,3.284919,215.507,65.605,counter,54.554,36.3019,67.0,27.0,6.9,1095.0,32,33,1.6705968992248061,0.28141007751937985
pipeline,blocked,0,5,0,3308.93764800021,128,25.851075375001642,38.683110295945916,3.312319,221.782,66.957,counter,54.554,41.0822,66.77,26.9,6.8,1095.0,32,33,1.732671875,0.3209546875
pipeline,blocked,0,6,0,3323.549649998313,129,25.76395077518072,38.813922939308426,3.326941,221.43,66.557,counter,54.554,39.9324,66.74,26.9,6.8,1095.0,32,33,1.7165116279069768,0.309553488372093
pipeline,blocked,0,7,0,3331.9290630006435,129,25.82890746512127,38.71631044984678,3.335375,221.209,66.322,counter,54.554,39.2514,66.68,26.6,6.7,1095.0,32,34,1.7147984496124031,0.30427441860465115
pipeline,blocked,0,8,0,3308.4707880007045,129,25.647060372098483,38.990823333807995,3.31241,221.876,66.983,counter,54.554,41.1712,67.04,26.9,6.9,1095.0,32,33,1.719968992248062,0.31915658914728684
pipeline,blocked,0,9,0,3312.9304190006224,129,25.681631155043583,38.93833666416516,3.316374,221.781,66.875,counter,54.554,40.86,67.3,26.8,6.8,1095.0,33,33,1.719232558139535,0.3167441860465116
pipeline,blocked,0,10,0,3275.6139439989056,128,25.59073393749145,39.076644008828524,3.279008,221.857,67.66,counter,54.554,42.9744,67.29,27.2,6.9,1095.0,32,33,1.7332578125,0.3357375
pipeline,blocked,0,11,0,3330.0625209994905,129,25.81443814728287,38.738011429671815,3.333489,221.175,66.349,counter,54.554,39.3202,66.81,26.9,6.8,1095.0,32,33,1.7145348837209302,0.3048077519379845
pipeline,blocked,0,12,0,3334.7335239996028,129,25.850647472865138,38.68375061203702,3.338143,228.054,68.318,counter,54.554,45.9454,66.73,26.8,6.8,1095.0,32,34,1.767860465116279,0.3561658914728682
pipeline,blocked,0,13,0,3313.3194410002034,129,25.68464682945894,38.933764853369624,3.316634,221.55,66.8,counter,54.554,40.6148,66.61,26.8,6.8,1095.0,32,33,1.7174418604651163,0.3148434108527132
pipeline,blocked,0,14,0,3268.0370380003296,129,25.33362044961496,39.47323683911902,3.271498,215.264,65.8,counter,54.554,36.7911,66.78,27.2,6.9,1095.0,32,33,1.6687131782945737,0.28520232558139536
pipeline,blocked,0,15,0,3266.4859560009063,129,25.32159655814656,39.49198059860393,3.269843,215.662,65.955,counter,54.554,37.2794,66.84,27.3,6.9,1095.0,32,33,1.6717984496124032,0.2889875968992248
pipeline,blocked,0,16,0,3379.783940999914,129,26.19987551162724,38.16812028577044,3.38427,227.548,67.237,counter,54.554,42.923,66.9,26.3,6.4,1095.0,32,33,1.763937984496124,0.33273643410852716
pipeline,blocked,0,17,0,3318.1397909993393,129,25.72201388371581,38.877204736798774,3.323239,221.323,66.599,counter,54.554,40.0274,66.83,26.9,6.9,1095.0,32,33,1.7156821705426357,0.31028992248062015
pipeline,blocked,0,18,0,3314.8356139990938,129,25.696400108520105,38.91595693470043,3.319586,221.484,66.72,counter,54.554,40.3877,67.11,26.8,6.9,1095.0,32,33,1.7169302325581397,0.31308294573643414
pipeline,blocked,0,19,0,3347.123923998879,129,25.946697085262628,38.540550911506436,3.350396,227.703,67.963,counter,54.554,44.9259,66.72,26.7,6.8,1095.0,32,33,1.7651395348837209,0.3482627906976744
direct,blocked,0,0,1,3055.901696001456,128,23.874232000011375,41.8861641287361,3.059407,204.556,66.861,counter,54.554,37.6535,67.77,28.8,6.9,1095.0,32,30,1.59809375,0.29416796875
direct,blocked,0,1,1,2989.114805001009,128,23.35245941407038,42.822042092811756,2.992338,204.898,68.474,counter,54.554,41.6543,67.84,29.7,7.0,1095.0,32,30,1.600765625,0.32542421875
direct,blocked,0,2,1,2981.709050000063,128,23.294601953125493,42.92840040848294,2.985233,205.465,68.827,counter,54.554,42.6089,68.43,29.8,7.0,1095.0,32,30,1.6051953125,0.33288203125
direct,blocked,0,3,1,2986.0133310012316,128,23.32822914844712,42.86651994185193,2.989782,205.398,68.7,counter,54.554,42.2938,68.24,29.7,7.0,1095.0,32,30,1.604671875,0.3304203125
direct,blocked,0,4,1,2996.6598129994964,128,23.411404789058565,42.7142244991362,2.999993,205.098,68.366,counter,54.554,41.4368,68.07,29.7,7.0,1095.0,32,30,1.602328125,0.323725
direct,blocked,0,5,1,2947.848611000154,128,23.030067273438704,43.4214971292477,2.951092,198.997,67.432,counter,54.554,38.0035,68.3,30.0,7.1,1095.0,33,30,1.5546640625,0.29690234375
direct,blocked,0,6,1,2982.901318000586,128,23.303916546879577,42.91124189311007,2.986135,198.626,66.516,counter,54.554,35.7207,67.91,29.8,7.1,1095.0,32,29,1.551765625,0.27906796875
direct,blocked,0,7,1,2988.811616000021,128,23.350090750000163,42.826386017364534,2.992897,205.238,68.575,counter,54.554,41.9638,68.19,29.9,7.0,1095.0,32,29,1.603421875,0.3278421875
direct,blocked,0,8,1,3056.0569949993805,128,23.87544527343266,41.88403560844779,3.060579,211.091,68.971,counter,54.554,44.1246,68.03,29.2,6.9,1095.0,32,31,1.6491484375,0.3447234375
direct,blocked,0,9,1,2992.2559859987814,128,23.37699989061548,42.77708879151094,2.996759,205.236,68.486,counter,54.554,41.7512,68.02,29.6,7.0,1095.0,32,30,1.60340625,0.32618125
direct,blocked,0,10,1,3004.7326750009233,128,23.474474023444714,42.599463527969476,3.007987,204.958,68.138,counter,54.554,40.8606,67.9,29.7,7.0,1095.0,32,30,1.601234375,0.3192234375
direct,blocked,0,11,1,2988.5705939996114,128,23.348207765621964,42.829839876292596,2.991884,205.161,68.573,counter,54.554,41.9421,68.13,29.6,7.0,1095.0,32,30,1.6028203125,0.32767265625
direct,blocked,0,12,1,3072.1633529992687,128,24.001276195306787,41.664451167623334,3.075419,204.485,66.49,counter,54.554,36.7089,67.67,29.0,7.1,1095.0,33,31,1.5975390625,0.28678828125
direct,blocked,0,13,1,3020.938841998941,128,23.601084703116726,42.370933903217654,3.024288,205.055,67.803,counter,54.554,40.0684,67.86,29.4,6.9,1095.0,32,30,1.6019921875,0.313034375
direct,blocked,0,14,1,2992.8157960002864,128,23.381373406252237,42.769087282640015,2.996092,205.361,68.543,counter,54.554,41.9125,67.93,29.7,7.0,1095.0,33,30,1.6043828125,0.32744140625
direct,blocked,0,15,1,2990.1383350006654,128,23.3604557421927,42.8073840269238,2.993403,205.343,68.599,counter,54.554,42.0413,67.97,29.6,7.0,1095.0,33,30,1.6042421875,0.32844765625
direct,blocked,0,16,1,3031.395562000398,128,23.68277782812811,42.22477647078616,3.035079,204.462,67.366,counter,54.554,38.8866,67.66,29.3,7.0,1095.0,33,31,1.597359375,0.3038015625
direct,blocked,0,17,1,3000.795100000687,128,23.443711718755367,42.655361573994405,3.004018,205.148,68.291,counter,54.554,41.2672,68.06,29.5,7.0,1095.0,33,30,1.60271875,0.3224
direct,blocked,0,18,1,2991.6119370009255,128,23.37196825781973,42.78629805452618,2.994877,205.264,68.538,counter,54.554,41.8818,68.36,29.7,7.0,1095.0,33,30,1.603625,0.3272015625
direct,blocked,0,19,1,3004.617116999725,128,23.473571226560352,42.601101909389044,3.007871,205.268,68.244,counter,54.554,41.1769,68.01,29.5,7.0,1095.0,32,30,1.60365625,0.32169453125
direct_no_grad,blocked,0,0,2,3329.9946630013437,128,26.015583304697998,38.438500043910835,3.333265,221.471,66.443,counter,54.554,39.6285,66.85,27.0,6.8,1095.0,32,33,1.7302421875,0.30959765625
direct_no_grad,blocked,0,1,2,3378.2199019988184,128,26.39234298436577,37.889777371883106,3.38249,227.345,67.212,counter,54.554,42.817,66.15,26.5,6.7,1095.0,32,33,1.7761328125,0.3345078125
direct_no_grad,blocked,0,2,2,3373.073148999538,128,26.35213397655889,37.947590919564,3.377536,227.774,67.438,counter,54.554,43.5163,67.12,26.4,6.7,1095.0,33,34,1.779484375,0.33997109375
direct_no_grad,blocked,0,3,2,3336.014548000094,128,26.062613656250733,38.36913723195082,3.339308,221.192,66.239,counter,54.554,39.0198,66.81,26.7,6.8,1095.0,33,34,1.7280625,0.3048421875
direct_no_grad,blocked,0,4,2,3415.2465859988297,128,26.681613953115857,37.478992153816876,3.418567,227.039,66.414,counter,54.554,40.5429,66.72,26.1,6.2,1095.0,32,34,1.7737421875,0.31674140625
direct_no_grad,blocked,0,5,2,3313.847622999674,128,25.889434554684954,38.62579531769032,3.31837,221.636,66.791,counter,54.554,40.606,66.51,26.8,6.9,1095.0,32,33,1.73153125,0.317234375
direct_no_grad,blocked,0,6,2,3325.1162960004876,128,25.97747106250381,38.49489419481683,3.328378,221.526,66.557,counter,54.554,39.9501,66.78,26.8,6.9,1095.0,33,33,1.730671875,0.31211015625
direct_no_grad,blocked,0,7,2,3322.104629000023,128,25.95394241406268,38.52979189235497,3.32595,221.365,66.557,counter,54.554,39.9215,66.81,26.9,6.9,1095.0,32,33,1.7294140625,0.31188671875
direct_no_grad,blocked,0,8,2,3329.5083370012435,128,26.011783882822215,38.44411457917674,3.332832,221.426,66.438,counter,54.554,39.6071,67.27,26.7,6.8,1095.0,33,33,1.729890625,0.30943046875
direct_no_grad,blocked,0,9,2,3266.675237999152,128,25.520900296868376,39.18357065650651,3.270937,222.019,67.876,counter,54.554,43.5767,66.75,27.1,6.9,1095.0,32,33,1.7345234375,0.34044296875
direct_no_grad,blocked,0,10,2,3277.479501999551,128,25.60530860937149,39.05440138432864,3.280737,222.068,67.688,counter,54.554,43.0911,67.6,26.9,6.9,1095.0,32,33,1.73490625,0.33664921875
direct_no_grad,blocked,0,11,2,3318.5631849992205,128,25.92627488280641,38.57090941603695,3.321805,221.13,66.569,counter,54.554,39.9126,66.79,26.8,6.8,1095.0,32,33,1.727578125,0.3118171875
direct_no_grad,blocked,0,12,2,3360.5358580007305,128,26.254186390630707,38.08916357647512,3.363895,227.732,67.699,counter,54.554,44.2185,67.02,26.4,6.5,1095.0,32,34,1.77915625,0.34545703125
direct_no_grad,blocked,0,13,2,3321.7362689993024,128,25.95106460155705,38.53406460789283,3.325461,221.43,66.586,counter,54.554,40.0132,66.48,26.8,6.9,1095.0,32,33,1.729921875,0.312603125
direct_no_grad,blocked,0,14,2,3328.2825340011186,128,26.00220729688374,38.45827350664364,3.331552,221.65,66.531,counter,54.554,39.9009,66.98,26.8,6.9,1095.0,33,33,1.731640625,0.31172578125
direct_no_grad,blocked,0,15,2,3376.889552000648,128,26.381949625005063,37.904704322996295,3.381426,227.304,67.221,counter,54.554,42.8341,66.68,26.5,6.3,1095.0,32,33,1.7758125,0.33464140625
direct_no_grad,blocked,0,16,2,3369.9317909995443,128,26.32759211718394,37.98296462316062,3.374188,227.497,67.423,counter,54.554,43.4219,67.07,26.2,6.5,1095.0,32,34,1.7773203125,0.33923359375
direct_no_grad,blocked,0,17,2,3317.938148999019,128,25.921391789054837,38.57817543663857,3.321177,221.214,66.607,counter,54.554,40.0309,66.81,26.9,6.9,1095.0,32,33,1.728234375,0.31274140625
direct_no_grad,blocked,0,18,2,3337.937525000598,128,26.07763691406717,38.34703287323422,3.341162,221.119,66.18,counter,54.554,38.8456,66.74,26.8,6.9,1095.0,32,34,1.7274921875,0.30348125
direct_no_grad,blocked,0,19,2,3385.1957409988245,128,26.446841726553316,37.8116982866795,3.390103,220.706,65.103,counter,54.554,35.7627,66.17,26.2,6.3,1095.0,32,34,1.724265625,0.27939609375
